,本部変電所,地域共同変電所,大学会館変電所,図書館変電所,体育施設変電所
143,10.0,10.0,20.0,0.0,10.0
144,20.0,10.0,30.0,10.0,10.0
145,10.0,10.0,20.0,10.0,10.0
146,10.0,0.0,30.0,0.0,0.0
147,20.0,10.0,20.0,10.0,10.0
148,10.0,10.0,30.0,10.0,10.0
149,10.0,10.0,30.0,10.0,0.0
150,10.0,10.0,30.0,0.0,10.0
151,10.0,10.0,20.0,10.0,20.0
152,30.0,20.0,30.0,20.0,10.0
153,30.0,20.0,50.0,50.0,30.0
154,20.0,20.0,60.0,40.0,30.0
155,30.0,30.0,80.0,40.0,30.0
156,20.0,20.0,70.0,50.0,40.0
157,40.0,30.0,80.0,50.0,40.0
158,30.0,20.0,80.0,60.0,30.0
159,30.0,30.0,80.0,50.0,30.0
160,30.0,20.0,80.0,50.0,40.0
161,20.0,20.0,60.0,10.0,30.0
162,30.0,20.0,70.0,10.0,30.0
163,20.0,10.0,60.0,10.0,20.0
164,20.0,10.0,60.0,10.0,20.0
165,30.0,10.0,30.0,10.0,10.0
166,10.0,10.0,30.0,0.0,10.0
167,10.0,10.0,30.0,10.0,10.0
168,20.0,10.0,20.0,10.0,0.0
169,10.0,10.0,30.0,10.0,10.0
170,10.0,10.0,30.0,0.0,10.0
171,10.0,10.0,20.0,10.0,0.0
172,20.0,10.0,30.0,10.0,10.0
173,10.0,10.0,30.0,10.0,10.0
174,10.0,10.0,30.0,0.0,0.0
175,0.0,10.0,30.0,10.0,10.0
176,20.0,20.0,40.0,20.0,10.0
177,20.0,20.0,50.0,40.0,20.0
178,10.0,20.0,50.0,50.0,30.0
179,10.0,30.0,80.0,40.0,20.0
180,10.0,20.0,70.0,40.0,30.0
181,10.0,20.0,60.0,40.0,10.0
182,20.0,30.0,60.0,50.0,20.0
183,20.0,20.0,50.0,50.0,20.0
184,20.0,20.0,70.0,50.0,30.0
185,20.0,20.0,50.0,10.0,30.0
186,30.0,20.0,60.0,10.0,40.0
187,20.0,10.0,50.0,10.0,30.0
188,20.0,10.0,40.0,10.0,30.0
189,20.0,10.0,30.0,0.0,20.0
190,20.0,10.0,30.0,10.0,10.0
191,10.0,10.0,30.0,10.0,0.0
192,10.0,10.0,20.0,10.0,10.0
193,20.0,10.0,30.0,10.0,10.0
194,10.0,10.0,30.0,0.0,0.0
195,10.0,10.0,30.0,10.0,10.0
196,20.0,0.0,20.0,10.0,10.0
197,10.0,10.0,30.0,10.0,0.0
198,10.0,10.0,40.0,0.0,10.0
199,0.0,10.0,20.0,0.0,0.0
200,0.0,10.0,30.0,0.0,20.0
201,0.0,10.0,40.0,10.0,30.0
202,0.0,20.0,40.0,0.0,20.0
203,0.0,10.0,40.0,10.0,30.0
204,0.0,20.0,40.0,0.0,30.0
205,0.0,10.0,30.0,10.0,20.0
206,0.0,20.0,50.0,0.0,30.0
207,0.0,10.0,50.0,0.0,20.0
208,10.0,10.0,60.0,10.0,40.0
209,10.0,20.0,50.0,0.0,30.0
210,10.0,10.0,40.0,10.0,40.0
211,20.0,10.0,30.0,10.0,40.0
212,10.0,10.0,30.0,10.0,20.0
213,10.0,10.0,30.0,10.0,10.0
214,20.0,0.0,30.0,10.0,10.0
215,10.0,10.0,30.0,0.0,10.0
216,10.0,10.0,30.0,10.0,10.0
217,20.0,10.0,20.0,10.0,0.0
218,10.0,10.0,30.0,10.0,10.0
219,20.0,10.0,30.0,0.0,10.0
220,10.0,0.0,30.0,10.0,0.0
221,10.0,10.0,30.0,10.0,10.0
222,10.0,10.0,30.0,0.0,10.0
223,0.0,10.0,30.0,10.0,0.0
224,0.0,10.0,30.0,0.0,10.0
225,0.0,10.0,20.0,10.0,20.0
226,0.0,0.0,20.0,10.0,10.0
227,0.0,10.0,20.0,0.0,20.0
228,0.0,10.0,20.0,10.0,20.0
229,0.0,10.0,20.0,10.0,10.0
230,0.0,20.0,30.0,0.0,30.0
231,0.0,10.0,40.0,10.0,20.0
232,10.0,20.0,30.0,0.0,20.0
233,10.0,10.0,40.0,10.0,20.0
234,20.0,10.0,40.0,10.0,30.0
235,10.0,10.0,30.0,10.0,20.0
236,20.0,0.0,40.0,10.0,10.0
237,10.0,10.0,30.0,0.0,10.0
238,10.0,10.0,30.0,10.0,10.0
239,20.0,10.0,30.0,10.0,10.0
240,10.0,10.0,30.0,10.0,0.0
241,10.0,10.0,30.0,0.0,10.0
242,20.0,10.0,30.0,10.0,10.0
243,10.0,0.0,30.0,10.0,10.0
244,10.0,10.0,30.0,0.0,0.0
245,10.0,10.0,30.0,10.0,10.0
246,10.0,10.0,40.0,30.0,10.0
247,10.0,10.0,30.0,30.0,0.0
248,20.0,10.0,50.0,50.0,10.0
249,10.0,20.0,100.0,40.0,0.0
250,20.0,30.0,120.0,50.0,0.0
251,10.0,20.0,130.0,40.0,10.0
252,10.0,20.0,140.0,50.0,0.0
253,20.0,30.0,130.0,40.0,0.0
